time,temperature,salinity
2010-01-10,28.272,35.011
2010-01-20,28.992,35.194
2010-01-30,29.061,34.801
2010-02-10,28.975,34.482
2010-02-20,28.943,34.32
2010-02-28,29.14,34.684
2010-03-10,29.717,34.635
2010-03-20,29.746,34.399
2010-03-30,30.334,34.293
2010-04-10,30.181,34.517
2010-04-20,30.474,34.621
2010-04-30,30.3,34.952
2010-05-10,30.237,35.053
2010-05-20,29.694,35.021
2010-05-30,29.367,35.076
2010-06-10,29.651,34.927
2010-06-20,29.22,34.848
2010-06-30,29.277,34.899
2010-07-10,29.268,35.077
2010-07-20,28.902,34.608
2010-07-30,29.09,34.675
2010-08-10,29.21,34.61
2010-08-20,29.038,34.696
2010-08-30,28.635,35.062
2010-09-10,29.317,35.063
2010-09-20,28.786,35.169
2010-09-30,28.491,35.223
2010-10-10,28.538,35.45
2010-10-20,28.537,35.479
2010-10-30,28.72,35.643
2010-11-10,28.48,35.751
2010-11-20,28.635,35.275
2010-11-30,28.187,35.005
2010-12-10,28.102,34.754
2010-12-20,28.268,34.642
2010-12-30,28.006,35.15
2011-01-10,27.692,35.394
2011-01-20,27.832,35.373
2011-01-30,28.467,35.233
2011-02-10,28.512,35.329
2011-02-20,29.01,35.127
2011-02-28,28.85,34.997
2011-03-10,29.459,35.001
2011-03-20,29.199,35.006
2011-03-30,29.494,34.918
2011-04-10,29.696,34.947
2011-04-20,29.861,34.818
2011-04-30,29.698,34.83
2011-05-10,29.271,34.932
2011-05-20,29.888,34.935
2011-05-30,29.61,34.969
2011-06-10,29.371,34.697
2011-06-20,29.467,34.728
2011-06-30,29.281,34.717
2011-07-10,29.053,34.823
2011-07-20,28.811,34.855
2011-07-30,28.868,34.881
2011-08-10,28.668,34.821
2011-08-20,28.836,34.669
2011-08-30,29.0,34.612
2011-09-10,29.098,34.477
2011-09-20,29.031,34.43
2011-09-30,29.295,34.497
2011-10-10,28.977,34.633
2011-10-20,29.34,34.729
2011-10-30,29.593,34.781
2011-11-10,29.311,34.953
2011-11-20,29.564,35.166
2011-11-30,29.932,35.147
2011-12-10,29.021,34.783
2011-12-20,29.389,34.715
2011-12-30,29.021,34.703
2012-01-10,28.246,34.755
2012-01-20,28.747,34.42
2012-01-30,28.669,34.577
2012-02-10,28.556,34.58
2012-02-20,28.685,34.211
2012-02-28,28.677,34.352
2012-03-10,29.304,34.121
2012-03-20,29.271,34.329
2012-03-30,29.731,34.47
2012-04-10,29.834,34.545
2012-04-20,30.051,34.535
2012-04-30,29.663,34.754
2012-05-10,29.683,34.729
2012-05-20,29.883,34.682
2012-05-30,29.568,34.685
2012-06-10,29.408,34.745
2012-06-20,29.452,34.672
2012-06-30,29.348,34.654
2012-07-10,29.139,34.526
2012-07-20,29.126,34.602
2012-07-30,29.155,34.637
2012-08-10,29.272,34.636
2012-08-20,29.076,34.616
2012-08-30,29.258,34.696
2012-09-10,29.29,34.672
2012-09-20,29.48,34.791
2012-09-30,29.357,34.587
2012-10-10,29.524,34.524
2012-10-20,29.093,34.78
2012-10-30,28.962,34.598
2012-11-10,28.553,34.918
2012-11-20,28.741,35.371
2012-11-30,28.553,34.918
2012-12-10,27.511,34.809
2012-12-20,29.145,34.554
2012-12-30,27.511,34.809
2013-01-10,28.312,34.772
2013-01-20,28.221,34.714
2013-01-30,28.367,34.413
2013-02-10,28.761,34.267
2013-02-20,29.068,34.424
2013-02-28,28.298,34.608
2013-03-10,29.079,34.509
2013-03-20,29.703,34.367
2013-03-30,29.325,34.519
2013-04-10,29.375,34.635
2013-04-20,29.66,34.616
2013-04-30,29.68,34.646
2013-05-10,29.291,34.726
2013-05-20,29.035,34.99
2013-05-30,29.14,35.466
2013-06-10,29.269,35.54
2013-06-20,28.694,35.089
2013-06-30,28.274,34.898
2013-07-10,27.634,34.905
2013-07-20,27.643,34.795
2013-07-30,28.399,34.921
2013-08-10,28.399,35.058
2013-08-20,28.209,35.185
2013-08-30,28.322,34.798
2013-09-10,28.571,34.889
2013-09-20,28.653,34.942
2013-09-30,29.115,34.834
2013-10-10,29.274,34.938
2013-10-20,28.777,34.946
2013-10-30,28.59,35.21
2013-11-10,28.668,34.806
2013-11-20,28.672,34.858
2013-11-30,28.25,34.965
2013-12-10,28.676,34.985
2013-12-20,28.378,34.825
2013-12-30,28.357,35.291
